DRIVER    VOLUME NAME
local     b464b7994cb78c1a8463907dd6c9b35e0a4041e401c82f184c3d5a51a11a9b4e
local     c07d6c6f4bb4bfa13703b35d70205642bcce14d55f068f0b5c8d3bfb868c1150
local     demo-realestate_pgdata
local     demo-realestate_redisdata
local     demo-realestate_uploads
local     dograh_minio-data
local     dograh_postgres_data
local     dograh_redis_data
local     lead-automation-demo_khoj_config
local     lead-automation-demo_khoj_db
local     lead-automation-demo_khoj_models
local     lead-automation-demo_khoj_search
local     lead-automation-demo_n8ndata
local     lead-automation-demo_pgdata
local     lead-automation-demo_redisdata
local     lead-automation-demo_uploads
local     lead-automation_khoj_config
local     lead-automation_khoj_db
local     lead-automation_khoj_models
local     lead-automation_khoj_search
local     lead-automation_n8ndata
local     lead-automation_pgdata
local     lead-automation_redisdata
local     lead-automation_uploads
local     n8ndata
local     virtual-assistant_khoj_config
local     virtual-assistant_khoj_db
local     virtual-assistant_khoj_models
local     virtual-assistant_khoj_search
local     virtual-assistant_moonshine_models
local     virtual-assistant_n8ndata
local     virtual-assistant_pgdata
local     virtual-assistant_redisdata
local     virtual-assistant_uploads
